,0
0,Colorado
1,Connecticut
2,Delaware
3,Georgia
4,Idaho
5,Illinois
6,Indiana
7,Kentucky
8,Maine
9,Maryland
10,Massachusetts
11,Minnesota
12,Mississippi
13,Missouri
14,Montana
15,Nebraska
16,New Hampshire
17,Ohio
18,Oklahoma
19,Pennsylvania
20,Rhode Island
21,Tennessee
22,Utah
23,Vermont
24,Virginia
25,West Virginia
26,Wyoming
